Intersection,Postal Code,Vehicle Traffic,Pedestrian Traffic,Average Age,Average Income,Average Number of Children Per Household,Percent of Youth
JARVIS ST and FRONT ST E,M5E 1N3,15662,13535,40,50850,0.930348259,5.3
KING ST E and JARVIS ST,M5A 1J4,12960,7333,39.3,28885,1.258089976,9.8
JARVIS ST and ADELAIDE ST E,M5C,17770,7083,39.8,47791,1.220338983,5.3
JARVIS ST and RICHMOND ST E,M5C 2H6,19678,4369,39.8,47791,1.220338983,5.3
JARVIS ST and QUEEN ST E,M7A 2H6,14487,3368, ,,,
JARVIS ST and SHUTER ST,M5A 1R9,15846,3747,39.3,28885,1.258089976,9.8
JARVIS ST and DUNDAS ST E,M5A 1Z4,17835,5858,39.3,28885,1.258089976,9.8
JARVIS ST and GERRARD ST E,M5B 2L4,18196,6493,36.6,28000,1.186885246,5.7
JARVIS ST and CARLTON ST,M5A 4K2,14222,6165,39.3,28885,1.258089976,9.8
JARVIS ST and WELLESLEY ST E,M5A 4K2,18163,5213,39.3,28885,1.258089976,9.8
JARVIS ST and ISABELLA ST,M4Y 2J1,15197,2713,39.1,32839,0.966371681,4.4
MOUNT PLEASANT RD and CHARLES ST E,M4Y,16280,2976,39.1,32839,0.966371681,4.4
BLOOR ST E and TED ROGERS WAY,M4W 3M4,15844,9810,45.3,49760,1.045380875,10.6
CHURCH ST and FRONT ST E,M5E 1C9,10467,7381,40,50850,0.930348259,5.3
KING ST E and CHURCH ST,M5C 1G6,12017,20866,39.8,47791,1.220338983,5.3
CHURCH ST and ADELAIDE ST E,M5C 2G1,13816,9692,39.8,47791,1.220338983,5.3
CHURCH ST and RICHMOND ST E,M5C 1N8,10374,7179,39.8,47791,1.220338983,5.3
QUEEN ST E and CHURCH ST,M5C 2T3,13867,11799,39.8,47791,1.220338983,5.3
CHURCH ST and SHUTER ST,M5B 1Z2,11028,6952,36.6,28000,1.186885246,5.7
DUNDAS ST E and CHURCH ST,M5B 1Z2,13764,10302,36.6,28000,1.186885246,5.7
CHURCH ST and GERRARD ST E,M5B 1G6,13437,15840,36.6,28000,1.186885246,5.7
CHURCH ST and CARLTON ST,M5A 4K2,11648,11072,39.3,28885,1.258089976,9.8
CHURCH ST and WELLESLEY ST E,M5A 4K2,12231,12520,39.3,28885,1.258089976,9.8
BLOOR ST E and CHURCH ST,M4Y 2G5,18339,27313,39.1,32839,0.966371681,4.4
ADELAIDE ST E and VICTORIA ST,M5C 1J4,9968,18326,39.8,47791,1.220338983,5.3
VICTORIA ST and RICHMOND ST E,Canada,11767,10589, ,,,
QUEEN ST E and VICTORIA ST,M5B 1W8,10087,24100,36.6,28000,1.186885246,5.7
YONGE ST and FRONT ST,M5J 2X6,10996,10950,38.5,47669,0.912935323,6.2
YONGE ST and WELLINGTON ST,M5E,13620,26656,40,50850,0.930348259,5.3
YONGE ST and KING ST,M5E,10911,14579,40,50850,0.930348259,5.3
YONGE ST and ADELAIDE ST,M5C,12454,11224,39.8,47791,1.220338983,5.3
YONGE ST and RICHMOND ST,M5C,9390,19530,39.8,47791,1.220338983,5.3
YONGE ST and QUEEN ST,M5V 2A4,10956,21936,34.2,45581,0.990990991,5.1
YONGE ST and SHUTER ST,M5B 2H1,9525,15491,36.6,28000,1.186885246,5.7
YONGE ST and DUNDAS ST,M5B,10925,34615,36.6,28000,1.186885246,5.7
YONGE ST and GERRARD ST,M5B,10019,21562,36.6,28000,1.186885246,5.7
YONGE ST and CARLTON ST,M5B 1L2,13438,32030,36.6,28000,1.186885246,5.7
YONGE ST and WELLESLEY ST,M4Y 3A6,9051,19591,39.1,32839,0.966371681,4.4
BLOOR ST and YONGE ST,M4Y 2B6,14398,23335,39.1,32839,0.966371681,4.4
YONGE ST and CHURCH ST,M4W,15532,7870,45.3,49760,1.045380875,10.6
YONGE ST and AYLMER AVE,M4W 2K2,13870,3434,45.3,49760,1.045380875,10.6
YONGE ST and CRESCENT RD,M4W,10193,3758,45.3,49760,1.045380875,10.6
YONGE ST and MACPHERSON AVE,M4W 2L8,15632,4127,45.3,49760,1.045380875,10.6
YONGE ST and SHAFTESBURY AVE,M4T 1W1,14363,6199,44.4,50632,1.107883817,13.1
YONGE ST and ST CLAIR AVE,M4T,20437,10303,44.4,50632,1.107883817,13.1
YONGE ST and CHAPLIN CRES,M4S 3B2,19703,18330,41.1,42378,1.037420382,13.3
YONGE ST and MANOR RD,M4S 2A3,14040,3776,41.1,42378,1.037420382,13.3
YONGE ST and EGLINTON AVE,M4P 3C8,23360,20902,40.8,36334,1.064850843,9.6
YONGE ST and BROADWAY AVE,M4P,16937,14176,40.8,36334,1.064850843,9.6
YONGE ST and CASTLEFIELD AVE,M4P 2H7,15456,3080,40.8,36334,1.064850843,9.6
YONGE ST and BLYTHWOOD RD,M4N,19891,1438,42.1,51429,1.100719424,17.4
YONGE ST and GLENGROVE AVE,M4R 1P6,14632,1311,39.4,45447,1.079062958,17.3
YONGE ST and CHATSWORTH DR,M4N 2J9,18003,1409,42.1,51429,1.100719424,17.4
YONGE ST and LAWRENCE AVE,M4N,24489,9198,42.1,51429,1.100719424,17.4
YONGE ST and RANLEIGH AVE,M4N 2L1,18308,5040,42.1,51429,1.100719424,17.4
YONGE ST and FAIRLAWN AVE,M4N,19161,3893,42.1,51429,1.100719424,17.4
YONGE ST and YONGE BLVD,M4N 2N4,24567,2215,42.1,51429,1.100719424,17.4
BAY ST and FRONT ST W,M5J 2T6,18965,17115,38.5,47669,0.912935323,6.2
BAY ST and WELLINGTON ST W,M5J 2T6,16188,32319,38.5,47669,0.912935323,6.2
BAY ST and KING ST W,M5H 1H1,15543,47561,35.8,48171,0.872340426,4
BAY ST and ADELAIDE ST W,M5H 4G3,16489,28424,35.8,48171,0.872340426,4
BAY ST and RICHMOND ST W,M5H 2Y4,10403,26445,35.8,48171,0.872340426,4
BAY ST and QUEEN ST W,M5H,15397,20612,35.8,48171,0.872340426,4
BAY ST and ALBERT ST,M5H 2N3,9430,9629,35.8,48171,0.872340426,4
DUNDAS ST W and BAY ST,M5G 2M8,16598,31918,32.9,26802,1.073913043,7.4
BAY ST and GERRARD ST W,M5G 1Z4,19660,12211,32.9,26802,1.073913043,7.4
BAY ST and COLLEGE ST,M5G,17491,24779,32.9,26802,1.073913043,7.4
BAY ST and WELLESLEY ST W,M5S 3L6,16636,18418,39,26269,1.028423773,5.6
BAY ST and BLOOR ST W,M4W 3B8,19112,29629,45.3,49760,1.045380875,10.6
YORK ST and WELLINGTON ST W,Canada,5575,32338, ,,,
KING ST W and YORK ST,M5X 2A2,12474,20091, ,,,
