Intersection,Postal Code,Vehicle Traffic,Pedestrian Traffic
JARVIS ST and FRONT ST E,M5E 1N3,15662,13535
KING ST E and JARVIS ST,M5A 1J4,12960,7333
JARVIS ST and ADELAIDE ST E,M5C,17770,7083
JARVIS ST and RICHMOND ST E,M5C 2H6,19678,4369
JARVIS ST and QUEEN ST E,M7A 2H6,14487,3368
JARVIS ST and SHUTER ST,M5A 1R9,15846,3747
JARVIS ST and DUNDAS ST E,M5A 1Z4,17835,5858
JARVIS ST and GERRARD ST E,M5B 2L4,18196,6493
JARVIS ST and CARLTON ST,M5A 4K2,14222,6165
JARVIS ST and WELLESLEY ST E,M5A 4K2,18163,5213
JARVIS ST and ISABELLA ST,M4Y 2J1,15197,2713
MOUNT PLEASANT RD and CHARLES ST E,M4Y,16280,2976
BLOOR ST E and TED ROGERS WAY,M4W 3M4,15844,9810
CHURCH ST and FRONT ST E,M5E 1C9,10467,7381
KING ST E and CHURCH ST,M5C 1G6,12017,20866
CHURCH ST and ADELAIDE ST E,M5C 2G1,13816,9692
CHURCH ST and RICHMOND ST E,M5C 1N8,10374,7179
QUEEN ST E and CHURCH ST,M5C 2T3,13867,11799
CHURCH ST and SHUTER ST,M5B 1Z2,11028,6952
DUNDAS ST E and CHURCH ST,M5B 1Z2,13764,10302
CHURCH ST and GERRARD ST E,M5B 1G6,13437,15840
CHURCH ST and CARLTON ST,M5A 4K2,11648,11072
CHURCH ST and WELLESLEY ST E,M5A 4K2,12231,12520
BLOOR ST E and CHURCH ST,M4Y 2G5,18339,27313
ADELAIDE ST E and VICTORIA ST,M5C 1J4,9968,18326
VICTORIA ST and RICHMOND ST E,Canada,11767,10589
QUEEN ST E and VICTORIA ST,M5B 1W8,10087,24100
YONGE ST and FRONT ST,M5J 2X6,10996,10950
YONGE ST and WELLINGTON ST,M5E,13620,26656
YONGE ST and KING ST,M5E,10911,14579
YONGE ST and ADELAIDE ST,M5C,12454,11224
YONGE ST and RICHMOND ST,M5C,9390,19530
YONGE ST and QUEEN ST,M5V 2A4,10956,21936
YONGE ST and SHUTER ST,M5B 2H1,9525,15491
YONGE ST and DUNDAS ST,M5B,10925,34615
YONGE ST and GERRARD ST,M5B,10019,21562
YONGE ST and CARLTON ST,M5B 1L2,13438,32030
YONGE ST and WELLESLEY ST,M4Y 3A6,9051,19591
BLOOR ST and YONGE ST,M4Y 2B6,14398,23335
YONGE ST and CHURCH ST,M4W,15532,7870
YONGE ST and AYLMER AVE,M4W 2K2,13870,3434
YONGE ST and CRESCENT RD,M4W,10193,3758
YONGE ST and MACPHERSON AVE,M4W 2L8,15632,4127
YONGE ST and SHAFTESBURY AVE,M4T 1W1,14363,6199
YONGE ST and ST CLAIR AVE,M4T,20437,10303
YONGE ST and CHAPLIN CRES,M4S 3B2,19703,18330
YONGE ST and MANOR RD,M4S 2A3,14040,3776
YONGE ST and EGLINTON AVE,M4P 3C8,23360,20902
YONGE ST and BROADWAY AVE,M4P,16937,14176
YONGE ST and CASTLEFIELD AVE,M4P 2H7,15456,3080
YONGE ST and BLYTHWOOD RD,M4N,19891,1438
YONGE ST and GLENGROVE AVE,M4R 1P6,14632,1311
YONGE ST and CHATSWORTH DR,M4N 2J9,18003,1409
YONGE ST and LAWRENCE AVE,M4N,24489,9198
YONGE ST and RANLEIGH AVE,M4N 2L1,18308,5040
YONGE ST and FAIRLAWN AVE,M4N,19161,3893
YONGE ST and YONGE BLVD,M4N 2N4,24567,2215
BAY ST and FRONT ST W,M5J 2T6,18965,17115
BAY ST and WELLINGTON ST W,M5J 2T6,16188,32319
BAY ST and KING ST W,M5H 1H1,15543,47561
BAY ST and ADELAIDE ST W,M5H 4G3,16489,28424
BAY ST and RICHMOND ST W,M5H 2Y4,10403,26445
BAY ST and QUEEN ST W,M5H,15397,20612
BAY ST and ALBERT ST,M5H 2N3,9430,9629
DUNDAS ST W and BAY ST,M5G 2M8,16598,31918
BAY ST and GERRARD ST W,M5G 1Z4,19660,12211
BAY ST and COLLEGE ST,M5G,17491,24779
BAY ST and WELLESLEY ST W,M5S 3L6,16636,18418
BAY ST and BLOOR ST W,M4W 3B8,19112,29629
YORK ST and WELLINGTON ST W,Canada,5575,32338
KING ST W and YORK ST,M5X 2A2,12474,20091
YORK ST and ADELAIDE ST W,Canada,14130,9142
YORK ST and RICHMOND ST W,Canada,9677,11122
UNIVERSITY AVE and YORK ST,M5J,16857,17564
UNIVERSITY AVE and WELLINGTON ST W,M5J,18390,18152
UNIVERSITY AVE and KING ST W,M5H,16694,8406
UNIVERSITY AVE and ADELAIDE ST W,M5H 0A2,20740,5715
UNIVERSITY AVE and RICHMOND ST W,M5H,20727,5525
UNIVERSITY AVE and QUEEN ST W,M5H 4G1,23078,10824
UNIVERSITY AVE and DUNDAS ST W,M5G,30191,28927
UNIVERSITY AVE and ELM ST,M5G 1Y7,26595,17276
UNIVERSITY AVE and COLLEGE ST,M5S 3H2,20732,12177
QUEENS PARK CRES E and WELLESLEY ST W,M5S 2Z5,15472,5941
QUEENS PARK CRES E and ST JOSEPH ST,M5S,12427,1217
AVENUE RD and BLOOR ST W,M5S 1M4,24059,14885
EGLINTON AVE E and BRENTCLIFFE RD,M4G,26029,1107
EGLINTON AVE E and LAIRD DR,M4G 2L1,19362,2018
EGLINTON AVE E and RUMSEY RD,M4G 1P9,18995,716
EGLINTON AVE E and BAYVIEW AVE,M4G,30378,2880
EGLINTON AVE E and BANFF RD,M4P 1N6,16885,841
MOUNT PLEASANT RD and EGLINTON AVE E,M4P 2Z4,20734,6602
EGLINTON AVE E and REDPATH AVE,M4P 1A6,14372,6034
EGLINTON AVE W and DUPLEX AVE,M4R 2G9,15743,1967
EGLINTON AVE W and ORIOLE PKWY,M4R 1A9,13295,488
AVENUE RD and EGLINTON AVE W,M4R 1B2,26329,3717
